交易所,板块,代码,名称,行业,地域板块,概念题材,最新价,涨跌幅(%),成交额(亿元),振幅(%),换手率(%),量比,市盈率,市净率,主线评分,主线明细,评分,评分明细,优先级,入选理由,建议建仓位,是否适合今天建第一笔,建议动作,风险提示,排名
深交所,深市主板,002380,科远智慧,IT服务Ⅱ,江苏板块,"互联网服务,长江三角,智慧城市,国产软件,人工智能,工业互联,华为概念,边缘计算,垃圾分类,虚拟电厂,超超临界发电,机器人概念,信创,新型工业化,AI应用",43.41,2.92,10.30,8.99,16.75,1.35,34.16,4.37,15.00,行业IT服务Ⅱ均涨1.41%上涨率65%前排18%/15%；强概念互联网服务均涨1.37%上涨率69%；主线15/15,75.53,成交额分层5/12；换手1/5；量比4/4；涨跌幅5/8；振幅质量近似1/5；日内位置6/8；尾盘近似8.53/20；历史风险22/22；空间盈亏比8/13；行业IT服务Ⅱ均涨1.41%上涨率65%前排18%/15%；强概念互联网服务均涨1.37%上涨率69%；主线15/15；执行条件不足封顶79,备选,成交额观察、涨幅未过热、量比健康、价格区间适合重仓隔夜,42.46-43.22企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：42.46-43.22企稳可分批看第一笔,换手已偏高，若重新跌破昨收42.18附近，短线波动可能加剧,Top27
上交所,沪市主板,600602,云赛智联,软件开发,上海板块,"物联网,云计算,长江三角,食品安全,智慧城市,大数据,安防概念,沪企改革,央国企改革,国产软件,VPN,智慧政务,数据中心,国资云概念,信创,算力概念,数据要素,腾讯云",22.78,2.15,11.15,3.63,4.52,0.74,174.83,6.33,13.00,行业软件开发均涨1.63%上涨率75%前排30%/8%；强概念国资云概念均涨1.04%上涨率67%；主线13/15,75.51,成交额分层5/12；换手5/5；量比1/4；涨跌幅8/8；振幅质量近似5/5；日内位置1/8；尾盘近似2.51/20；历史风险22/22；空间盈亏比13/13；行业软件开发均涨1.63%上涨率75%前排30%/8%；强概念国资云概念均涨1.04%上涨率67%；主线13/15,备选,成交额观察、振幅适中、换手率适中、涨幅未过热、价格区间适合重仓隔夜,22.60-22.74企稳可分批看第一笔,是,可按区间观察第一笔10%，只做试仓；参考区间：22.60-22.74企稳可分批看第一笔,若跌破日内低点22.60或回踩后持续弱于昨收22.30，应降低仓位预期,Top28
上交所,沪市主板,601231,环旭电子,消费电子,上海板块,"LED概念,智能穿戴,苹果概念,增强现实,电子烟,UWB概念,无线耳机,新能源车,WiFi,半导体概念,光通信模块,AI眼镜,消费电子概念,通信技术",40.09,1.06,13.76,4.29,1.46,0.63,57.39,4.14,13.00,行业消费电子均涨1.37%上涨率67%前排46%/21%；强概念AI眼镜均涨1.42%上涨率64%；主线13/15,75.40,成交额分层5/12；换手1/5；量比1/4；涨跌幅8/8；振幅质量近似3/5；日内位置8/8；尾盘近似13.4/20；历史风险22/22；空间盈亏比1/13；行业消费电子均涨1.37%上涨率67%前排46%/21%；强概念AI眼镜均涨1.42%上涨率64%；主线13/15,备选,成交额观察、振幅适中、涨幅未过热、价格区间适合重仓隔夜,39.67-40.01企稳可分批看第一笔,观察后决定,先观察承接与回收，再决定是否试10%；参考区间：39.67-40.01企稳可分批看第一笔,若跌破日内低点38.47或回踩后持续弱于昨收39.67，应降低仓位预期,Top29
上交所,科创板,688126,沪硅产业,半导体,上海板块,"国产芯片,半导体概念,中芯概念,存储芯片",24.60,2.20,32.23,8.18,4.78,0.85,-42.07,4.83,11.00,行业半导体均涨0.77%上涨率57%前排25%/17%；强概念国产芯片均涨1.06%上涨率64%；主线11/15,75.20,成交额分层12/12；换手5/5；量比1/4；涨跌幅8/8；振幅质量近似1/5；日内位置1/8；尾盘近似1.2/20；历史风险22/22；空间盈亏比13/13；行业半导体均涨0.77%上涨率57%前排25%/17%；强概念国产芯片均涨1.06%上涨率64%；主线11/15；执行条件不足封顶79,备选,成交额高、换手率适中、涨幅未过热、价格区间适合重仓隔夜,24.11-24.50企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：24.11-24.50企稳可分批看第一笔,若跌破日内低点23.73或回踩后持续弱于昨收24.07，应降低仓位预期,Top30
深交所,创业板,300058,蓝色光标,广告营销,北京板块,"大数据,在线教育,人工智能,AI智能体,区块链,百度概念,抖音概念(字节概念),网红经济,快手概念,元宇宙概念,职业教育,虚拟数字人,机器人概念,Web3.0,AIGC概念,跨境电商,ChatGPT概念,短剧互动游戏,智谱AI概念,小红书概念,AI应用,文娱消费",17.90,1.36,60.13,7.36,9.69,0.71,127.40,8.07,9.00,行业广告营销均涨0.55%上涨率54%前排32%/4%；强概念AI应用均涨1.16%上涨率63%；主线9/15,74.94,成交额分层12/12；换手1/5；量比1/4；涨跌幅8/8；振幅质量近似1/5；日内位置3/8；尾盘近似4.94/20；历史风险22/22；空间盈亏比13/13；行业广告营销均涨0.55%上涨率54%前排32%/4%；强概念AI应用均涨1.16%上涨率63%；主线9/15；执行条件不足封顶79,备选,成交额高、涨幅未过热、价格区间适合重仓隔夜,17.57-17.83企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：17.57-17.83企稳可分批看第一笔,换手已偏高，若重新跌破昨收17.66附近，短线波动可能加剧,Top31
深交所,深市主板,000070,特发信息,通信设备,广东板块,"军工,深圳特区,核能核电,智能电网,智慧城市,大数据,央国企改革,无人机,5G概念,人工智能,华为概念,特高压,数据中心,抖音概念(字节概念),国资云概念,东数西算,F5G概念,电网概念,通信技术,光纤概念",19.49,2.26,13.87,5.09,8.34,0.54,-443.76,16.91,13.00,行业通信设备均涨1.45%上涨率63%前排23%/32%；强概念国资云概念均涨1.04%上涨率67%；主线13/15,74.78,成交额分层5/12；换手1/5；量比1/4；涨跌幅8/8；振幅质量近似1/5；日内位置6/8；尾盘近似9.78/20；历史风险22/22；空间盈亏比8/13；行业通信设备均涨1.45%上涨率63%前排23%/32%；强概念国资云概念均涨1.04%上涨率67%；主线13/15；执行条件不足封顶79,备选,成交额观察、涨幅未过热、价格区间适合重仓隔夜,19.25-19.44企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：19.25-19.44企稳可分批看第一笔,换手已偏高，若重新跌破昨收19.06附近，短线波动可能加剧,Top32
深交所,深市主板,002203,海亮股份,工业金属,浙江板块,"参股银行,长江三角,小金属概念,固态电池,复合集流体,电池技术",21.58,1.84,14.19,8.64,3.08,1.31,28.36,2.90,4.00,行业工业金属均涨-0.44%上涨率37%前排19%/23%；主线4/15,74.64,成交额分层5/12；换手5/5；量比4/4；涨跌幅8/8；振幅质量近似1/5；日内位置8/8；尾盘近似12.64/20；历史风险22/22；空间盈亏比5/13；行业工业金属均涨-0.44%上涨率37%前排19%/23%；主线4/15；主线不足封顶79；执行条件不足封顶79,备选,成交额观察、换手率适中、涨幅未过热、量比健康、价格区间适合重仓隔夜,21.12-21.49企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：21.12-21.49企稳可分批看第一笔,若跌破日内低点19.96或回踩后持续弱于昨收21.19，应降低仓位预期,Top33
深交所,深市主板,000547,航天发展,军工电子Ⅱ,福建板块,"军工,海工装备,大数据,网络安全,央国企改革,无人机,5G概念,虚拟现实,军民融合,国产芯片,卫星互联网,第三代半导体,商业航天,数据安全,信创,毫米波概念,低空经济,通信技术",25.40,0.40,24.53,3.72,6.02,0.45,-92.15,10.76,13.00,行业军工电子Ⅱ均涨1.24%上涨率70%前排61%/5%；强概念5G概念均涨1.45%上涨率66%；主线13/15,74.48,成交额分层9/12；换手3/5；量比1/4；涨跌幅5/8；振幅质量近似5/5；日内位置1/8；尾盘近似2.48/20；历史风险22/22；空间盈亏比13/13；行业军工电子Ⅱ均涨1.24%上涨率70%前排61%/5%；强概念5G概念均涨1.45%上涨率66%；主线13/15,备选,流动性达标、振幅适中、换手率适中、涨幅未过热、价格区间适合重仓隔夜,25.17-25.35企稳可分批看第一笔,是,可按区间观察第一笔10%，只做试仓；参考区间：25.17-25.35企稳可分批看第一笔,若跌破日内低点25.17或回踩后持续弱于昨收25.30，应降低仓位预期,Top34
深交所,创业板,300209,行云科技,软件开发,湖南板块,"互联网服务,电商概念,国产软件,人工智能,纳米银,跨境电商,算力概念",26.95,3.65,26.00,6.85,13.41,0.78,-283.93,27.88,15.00,行业软件开发均涨1.63%上涨率75%前排12%/2%；强概念互联网服务均涨1.37%上涨率69%；主线15/15,74.34,成交额分层9/12；换手1/5；量比1/4；涨跌幅2/8；振幅质量近似1/5；日内位置6/8；尾盘近似9.34/20；历史风险22/22；空间盈亏比8/13；行业软件开发均涨1.63%上涨率75%前排12%/2%；强概念互联网服务均涨1.37%上涨率69%；主线15/15；执行条件不足封顶79,备选,流动性达标、价格区间适合重仓隔夜,26.33-26.68回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：26.33-26.68回踩稳住再看，不追高,换手已偏高，若重新跌破昨收26.00附近，短线波动可能加剧,Top35
上交所,科创板,688548,广钢气体,电子化学品Ⅱ,广东板块,"粤港自贸,央国企改革,华为概念,半导体概念,氦气概念,工业气体",33.02,3.93,14.85,8.72,6.57,1.14,118.66,7.15,9.00,行业电子化学品Ⅱ均涨3.02%上涨率73%前排39%/39%；强概念华为概念均涨0.88%上涨率58%；主线9/15,73.73,成交额分层5/12；换手3/5；量比4/4；涨跌幅2/8；振幅质量近似1/5；日内位置8/8；尾盘近似11.73/20；历史风险22/22；空间盈亏比8/13；行业电子化学品Ⅱ均涨3.02%上涨率73%前排39%/39%；强概念华为概念均涨0.88%上涨率58%；主线9/15；执行条件不足封顶79,备选,成交额观察、换手率适中、量比健康、价格区间适合重仓隔夜,32.05-32.60回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：32.05-32.60回踩稳住再看，不追高,若跌破日内低点30.88或回踩后持续弱于昨收31.77，应降低仓位预期,Top36
上交所,沪市主板,603626,科森科技,消费电子,江苏板块,"特斯拉概念,苹果概念,医疗器械概念,虚拟现实,华为概念,电子烟,无线耳机,储能概念,机器人概念,柔性屏(折叠屏),消费电子概念",26.71,4.54,12.08,9.86,8.25,1.15,9.61,6.51,15.00,行业消费电子均涨1.37%上涨率67%前排14%/25%；强概念无线耳机均涨2.03%上涨率72%；主线15/15,72.68,成交额分层5/12；换手1/5；量比4/4；涨跌幅2/8；振幅质量近似1/5；日内位置6/8；尾盘近似8.68/20；历史风险22/22；空间盈亏比8/13；行业消费电子均涨1.37%上涨率67%前排14%/25%；强概念无线耳机均涨2.03%上涨率72%；主线15/15；执行条件不足封顶79,备选,成交额观察、量比健康、价格区间适合重仓隔夜,25.83-26.33回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：25.83-26.33回踩稳住再看，不追高,当日涨幅偏高，若跌破24.88附近承接且收不回，不宜追高接力,Top37
上交所,科创板,688249,晶合集成,半导体,安徽板块,"央国企改革,半导体概念",40.90,4.28,33.57,8.26,4.09,1.17,405.21,3.75,11.00,行业半导体均涨0.77%上涨率57%前排14%/16%；强概念半导体概念均涨0.80%上涨率57%；主线11/15,72.44,成交额分层12/12；换手5/5；量比4/4；涨跌幅2/8；振幅质量近似1/5；日内位置1/8；尾盘近似1.44/20；历史风险22/22；空间盈亏比13/13；行业半导体均涨0.77%上涨率57%前排14%/16%；强概念半导体概念均涨0.80%上涨率57%；主线11/15；执行条件不足封顶79,备选,成交额高、换手率适中、量比健康、价格区间适合重仓隔夜,39.77-40.41回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：39.77-40.41回踩稳住再看，不追高,当日涨幅偏高，若跌破39.26附近承接且收不回，不宜追高接力,Top38
深交所,创业板,300166,东方国信,IT服务Ⅱ,北京板块,"互联网服务,物联网,云计算,海洋经济,智慧城市,大数据,互联网金融,养老概念,国产软件,5G概念,虚拟现实,人工智能,区块链,工业互联,华为概念,边缘计算,数字孪生,数字货币,数据中心,鸿蒙概念,虚拟电厂,碳交易,华为昇腾,元宇宙概念,职业教育,虚拟数字人,数字经济,东数西算,电子身份证,信创,Web3.0,ChatGPT概念,数字水印,MLOps概念,算力概念,数据要素,新型工业化,DeepSeek概念,电网概念,通信技术",19.50,3.34,38.53,8.59,21.13,1.19,-205.42,3.89,15.00,行业IT服务Ⅱ均涨1.41%上涨率65%前排13%/3%；强概念5G概念均涨1.45%上涨率66%；主线15/15,72.20,成交额分层12/12；换手1/5；量比4/4；涨跌幅2/8；振幅质量近似1/5；日内位置1/8；尾盘近似1.2/20；历史风险22/22；空间盈亏比13/13；行业IT服务Ⅱ均涨1.41%上涨率65%前排13%/3%；强概念5G概念均涨1.45%上涨率66%；主线15/15；执行条件不足封顶79,备选,成交额高、量比健康、价格区间适合重仓隔夜,19.32-19.32回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：19.32-19.32回踩稳住再看，不追高,换手已偏高，若重新跌破昨收18.87附近，短线波动可能加剧,Top39
深交所,深市主板,002472,双环传动,汽车零部件,浙江板块,"创投,铁路基建,特斯拉概念,独角兽,新能源车,机器人概念,减速器,机器人执行器",44.11,3.79,22.76,5.01,6.94,1.66,32.99,3.64,7.00,行业汽车零部件均涨-0.17%上涨率38%前排9%/3%；强概念特斯拉概念均涨0.80%上涨率56%；主线7/15,71.88,成交额分层9/12；换手3/5；量比2/4；涨跌幅2/8；振幅质量近似1/5；日内位置8/8；尾盘近似12.88/20；历史风险22/22；空间盈亏比5/13；行业汽车零部件均涨-0.17%上涨率38%前排9%/3%；强概念特斯拉概念均涨0.80%上涨率56%；主线7/15；主线不足封顶79；执行条件不足封顶79,备选,流动性达标、换手率适中、量比健康、价格区间适合重仓隔夜,43.36-43.79回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：43.36-43.79回踩稳住再看，不追高,若跌破日内低点42.30或回踩后持续弱于昨收42.50，应降低仓位预期,Top40
深交所,创业板,300398,飞凯材料,电子化学品Ⅱ,上海板块,"新材料,OLED,光刻机(胶),国产芯片,新能源车,半导体概念,中芯概念,第三代半导体,6G概念,IGBT概念,先进封装,光通信模块,存储芯片,高带宽内存,通信技术,光纤概念",38.42,0.63,18.98,4.74,8.79,0.66,41.50,4.32,11.00,行业电子化学品Ⅱ均涨3.02%上涨率73%前排67%/27%；强概念OLED均涨1.46%上涨率62%；主线11/15,71.74,成交额分层5/12；换手1/5；量比1/4；涨跌幅5/8；振幅质量近似3/5；日内位置6/8；尾盘近似9.74/20；历史风险22/22；空间盈亏比8/13；行业电子化学品Ⅱ均涨3.02%上涨率73%前排67%/27%；强概念OLED均涨1.46%上涨率62%；主线11/15；执行条件不足封顶79,备选,成交额观察、涨幅未过热、价格区间适合重仓隔夜,37.97-38.33企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：37.97-38.33企稳可分批看第一笔,换手已偏高，若重新跌破昨收38.18附近，短线波动可能加剧,Top41
深交所,创业板,300322,硕贝德,消费电子,广东板块,"物联网,特斯拉概念,无人机,5G概念,虚拟现实,无人驾驶,小米概念,华为概念,UWB概念,传感器,半导体概念,车联网(车路云),卫星互联网,无线充电,商业航天,6G概念,生物识别,元宇宙概念,机器人概念,毫米波概念,液冷概念,AI眼镜,消费电子概念,通信技术",33.65,2.53,15.96,8.07,10.89,0.92,371.11,15.20,13.00,行业消费电子均涨1.37%上涨率67%前排28%/17%；强概念5G概念均涨1.45%上涨率66%；主线13/15,71.02,成交额分层5/12；换手1/5；量比1/4；涨跌幅5/8；振幅质量近似1/5；日内位置6/8；尾盘近似9.02/20；历史风险22/22；空间盈亏比8/13；行业消费电子均涨1.37%上涨率67%前排28%/17%；强概念5G概念均涨1.45%上涨率66%；主线13/15；执行条件不足封顶79,备选,成交额观察、涨幅未过热、价格区间适合重仓隔夜,32.99-33.52企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：32.99-33.52企稳可分批看第一笔,换手已偏高，若重新跌破昨收32.82附近，短线波动可能加剧,Top42
深交所,创业板,300747,锐科激光,自动化设备,湖北板块,"3D打印,央国企改革,5G概念,国产芯片,新能源车,湖北自贸,商业航天,激光雷达,工业母机,通信技术,光纤概念",38.01,1.99,11.29,6.25,5.63,0.88,127.56,6.20,13.00,行业自动化设备均涨1.95%上涨率67%前排38%/23%；强概念5G概念均涨1.45%上涨率66%；主线13/15,70.94,成交额分层5/12；换手5/5；量比1/4；涨跌幅8/8；振幅质量近似1/5；日内位置1/8；尾盘近似1.94/20；历史风险22/22；空间盈亏比13/13；行业自动化设备均涨1.95%上涨率67%前排38%/23%；强概念5G概念均涨1.45%上涨率66%；主线13/15；执行条件不足封顶79,备选,成交额观察、换手率适中、涨幅未过热、价格区间适合重仓隔夜,37.43-37.89企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：37.43-37.89企稳可分批看第一笔,若跌破日内低点36.96或回踩后持续弱于昨收37.27，应降低仓位预期,Top43
深交所,深市主板,002009,天奇股份,专用设备,江苏板块,"节能环保,锂电池概念,光伏概念,长江三角,风能,特斯拉概念,小金属概念,垃圾分类,新能源车,车联网(车路云),汽车拆解,华为汽车,动力电池回收,机器人概念,人形机器人,电池技术",28.56,1.28,17.38,9.54,17.70,0.93,116.71,5.59,5.00,行业专用设备均涨-0.05%上涨率44%前排26%/5%；强概念特斯拉概念均涨0.80%上涨率56%；主线5/15,70.41,成交额分层5/12；换手1/5；量比1/4；涨跌幅8/8；振幅质量近似1/5；日内位置8/8；尾盘近似11.41/20；历史风险22/22；空间盈亏比8/13；行业专用设备均涨-0.05%上涨率44%前排26%/5%；强概念特斯拉概念均涨0.80%上涨率56%；主线5/15；主线不足封顶79；执行条件不足封顶79,备选,成交额观察、涨幅未过热、价格区间适合重仓隔夜,27.89-28.43企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：27.89-28.43企稳可分批看第一笔,换手已偏高，若重新跌破昨收28.20附近，短线波动可能加剧,Top44
深交所,深市主板,002491,通鼎互联,通信设备,江苏板块,"大数据,网络安全,5G概念,北交所概念,光通信模块,通信技术,光纤概念",23.69,4.87,44.23,9.74,15.71,1.00,142.07,11.56,15.00,行业通信设备均涨1.45%上涨率63%前排11%/17%；强概念5G概念均涨1.45%上涨率66%；主线15/15,70.20,成交额分层12/12；换手1/5；量比2/4；涨跌幅2/8；振幅质量近似1/5；日内位置1/8；尾盘近似1.2/20；历史风险22/22；空间盈亏比13/13；行业通信设备均涨1.45%上涨率63%前排11%/17%；强概念5G概念均涨1.45%上涨率66%；主线15/15；执行条件不足封顶79,备选,成交额高、量比健康、价格区间适合重仓隔夜,22.92-23.36回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：22.92-23.36回踩稳住再看，不追高,当日涨幅偏高，若跌破22.65附近承接且收不回，不宜追高接力,Top45
上交所,沪市主板,600703,三安光电,光学光电子,湖北板块,"LED概念,光伏概念,苹果概念,蓝宝石,国产芯片,MiniLED,氮化镓,半导体概念,数据中心,MicroLED,第三代半导体,商业航天,汽车芯片,碳化硅,植物照明,光通信模块,荣耀概念,AI眼镜,通信技术",16.18,0.12,46.02,6.56,5.68,0.71,299.01,2.31,11.00,行业光学光电子均涨1.00%上涨率60%前排58%/1%；强概念AI眼镜均涨1.42%上涨率64%；主线11/15,69.80,成交额分层12/12；换手5/5；量比1/4；涨跌幅2/8；振幅质量近似1/5；日内位置1/8；尾盘近似1.8/20；历史风险22/22；空间盈亏比13/13；行业光学光电子均涨1.00%上涨率60%前排58%/1%；强概念AI眼镜均涨1.42%上涨率64%；主线11/15；执行条件不足封顶79,备选,成交额高、换手率适中、价格区间适合重仓隔夜,15.91-16.13企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：15.91-16.13企稳可分批看第一笔,若跌破日内低点15.69或回踩后持续弱于昨收16.16，应降低仓位预期,Top46
深交所,创业板,300655,晶瑞电材,电子化学品Ⅱ,江苏板块,"新材料,锂电池概念,无人驾驶,独角兽,OLED,光刻机(胶),国产芯片,半导体概念,中芯概念,存储芯片,电池技术",16.37,0.61,12.82,4.79,7.34,1.36,656.20,6.82,11.00,行业电子化学品Ⅱ均涨3.02%上涨率73%前排70%/58%；强概念OLED均涨1.46%上涨率62%；主线11/15,69.76,成交额分层5/12；换手3/5；量比4/4；涨跌幅5/8；振幅质量近似3/5；日内位置1/8；尾盘近似2.76/20；历史风险22/22；空间盈亏比13/13；行业电子化学品Ⅱ均涨3.02%上涨率73%前排70%/58%；强概念OLED均涨1.46%上涨率62%；主线11/15；执行条件不足封顶79,备选,成交额观察、换手率适中、涨幅未过热、量比健康、价格区间适合重仓隔夜,16.18-16.33企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：16.18-16.33企稳可分批看第一笔,若跌破日内低点16.00或回踩后持续弱于昨收16.27，应降低仓位预期,Top47
上交所,沪市主板,603985,恒润股份,风电设备,江苏板块,"风能,央国企改革,OLED,东数西算,算力概念,英伟达概念",27.54,1.81,10.41,4.99,8.54,0.92,46.60,3.63,13.00,行业风电设备均涨1.03%上涨率60%前排37%/17%；强概念OLED均涨1.46%上涨率62%；主线13/15,69.55,成交额分层5/12；换手1/5；量比1/4；涨跌幅8/8；振幅质量近似3/5；日内位置1/8；尾盘近似2.55/20；历史风险22/22；空间盈亏比13/13；行业风电设备均涨1.03%上涨率60%前排37%/17%；强概念OLED均涨1.46%上涨率62%；主线13/15；执行条件不足封顶79,备选,成交额观察、涨幅未过热、价格区间适合重仓隔夜,27.20-27.47企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：27.20-27.47企稳可分批看第一笔,换手已偏高，若重新跌破昨收27.05附近，短线波动可能加剧,Top48
深交所,创业板,300762,上海瀚讯,军工电子Ⅱ,上海板块,"军工,国产软件,5G概念,军民融合,国产芯片,卫星互联网,商业航天,通信技术",42.90,0.63,15.19,4.64,5.56,0.71,-152.32,11.85,13.00,行业军工电子Ⅱ均涨1.24%上涨率70%前排54%/11%；强概念5G概念均涨1.45%上涨率66%；主线13/15,69.43,成交额分层5/12；换手5/5；量比1/4；涨跌幅5/8；振幅质量近似3/5；日内位置1/8；尾盘近似1.43/20；历史风险22/22；空间盈亏比13/13；行业军工电子Ⅱ均涨1.24%上涨率70%前排54%/11%；强概念5G概念均涨1.45%上涨率66%；主线13/15；执行条件不足封顶79,备选,成交额观察、换手率适中、涨幅未过热、价格区间适合重仓隔夜,42.60-42.80企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：42.60-42.80企稳可分批看第一笔,若跌破日内低点42.60或回踩后持续弱于昨收42.63，应降低仓位预期,Top49
深交所,创业板,300364,中文在线,数字媒体,北京板块,"在线教育,虚拟现实,人工智能,区块链,知识产权,百度概念,影视概念,华为概念,抖音概念(字节概念),盲盒经济,数字阅读,快手概念,元宇宙概念,虚拟数字人,Web3.0,AIGC概念,数据确权,ChatGPT概念,数据要素,短剧互动游戏,多模态AI,Kimi概念,AI语料,谷子经济,DeepSeek概念,AI应用,新消费,文娱消费",28.04,0.50,11.42,3.80,6.19,0.67,-111.43,80.92,11.00,行业数字媒体均涨1.70%上涨率62%前排46%/15%；强概念DeepSeek概念均涨1.18%上涨率62%；主线11/15,69.38,成交额分层5/12；换手3/5；量比1/4；涨跌幅5/8；振幅质量近似5/5；日内位置1/8；尾盘近似3.38/20；历史风险22/22；空间盈亏比13/13；行业数字媒体均涨1.70%上涨率62%前排46%/15%；强概念DeepSeek概念均涨1.18%上涨率62%；主线11/15,备选,成交额观察、振幅适中、换手率适中、涨幅未过热、价格区间适合重仓隔夜,27.77-27.99企稳可分批看第一笔,是,可按区间观察第一笔10%，只做试仓；参考区间：27.77-27.99企稳可分批看第一笔,若跌破日内低点27.50或回踩后持续弱于昨收27.90，应降低仓位预期,Top50
上交所,沪市主板,600460,士兰微,半导体,浙江板块,"LED概念,长江三角,智能穿戴,OLED,国产芯片,氮化镓,半导体概念,第三代半导体,碳化硅,IGBT概念,消费电子概念",31.05,0.32,18.16,3.30,3.52,0.69,61.85,4.24,9.00,行业半导体均涨0.77%上涨率57%前排50%/34%；强概念OLED均涨1.46%上涨率62%；主线9/15,69.33,成交额分层5/12；换手5/5；量比1/4；涨跌幅5/8；振幅质量近似5/5；日内位置3/8；尾盘近似6.33/20；历史风险22/22；空间盈亏比8/13；行业半导体均涨0.77%上涨率57%前排50%/34%；强概念OLED均涨1.46%上涨率62%；主线9/15,备选,成交额观察、振幅适中、换手率适中、涨幅未过热、价格区间适合重仓隔夜,30.80-31.00企稳可分批看第一笔,是,可按区间观察第一笔10%，只做试仓；参考区间：30.80-31.00企稳可分批看第一笔,若跌破日内低点30.43或回踩后持续弱于昨收30.95，应降低仓位预期,Top51
上交所,沪市主板,601898,中煤能源,煤炭开采,北京板块,"煤化工概念,央国企改革",17.41,3.57,10.53,5.18,0.67,1.54,15.01,1.41,8.00,行业煤炭开采均涨2.62%上涨率92%前排32%/16%；主线8/15,69.09,成交额分层5/12；换手1/5；量比4/4；涨跌幅2/8；振幅质量近似1/5；日内位置8/8；尾盘近似13.09/20；历史风险22/22；空间盈亏比5/13；行业煤炭开采均涨2.62%上涨率92%前排32%/16%；主线8/15；执行条件不足封顶79,备选,成交额观察、量比健康、价格区间适合重仓隔夜,17.11-17.28回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：17.11-17.28回踩稳住再看，不追高,若跌破日内低点16.63或回踩后持续弱于昨收16.81，应降低仓位预期,Top52
上交所,沪市主板,601958,金钼股份,小金属,陕西板块,"军工,稀缺资源,西部大开发,央国企改革,小金属概念,OLED",21.56,2.47,12.13,9.22,1.77,0.88,19.29,3.51,11.00,行业小金属均涨0.70%上涨率58%前排21%/46%；强概念OLED均涨1.46%上涨率62%；主线11/15,68.80,成交额分层5/12；换手1/5；量比1/4；涨跌幅5/8；振幅质量近似1/5；日内位置6/8；尾盘近似8.8/20；历史风险22/22；空间盈亏比8/13；行业小金属均涨0.70%上涨率58%前排21%/46%；强概念OLED均涨1.46%上涨率62%；主线11/15；执行条件不足封顶79,备选,成交额观察、涨幅未过热、价格区间适合重仓隔夜,21.07-21.46企稳可分批看第一笔,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：21.07-21.46企稳可分批看第一笔,若跌破日内低点20.15或回踩后持续弱于昨收21.04，应降低仓位预期,Top53
深交所,深市主板,000559,万向钱潮,汽车零部件,浙江板块,"新材料,锂电池概念,长江三角,工业互联,新能源车,固态电池,机器人概念,小米汽车,低空经济,并购重组概念,人形机器人,电池技术",18.18,3.89,36.65,10.69,6.13,1.74,61.05,7.43,7.00,行业汽车零部件均涨-0.17%上涨率38%前排8%/1%；强概念工业互联均涨1.03%上涨率60%；主线7/15,68.60,成交额分层12/12；换手3/5；量比2/4；涨跌幅2/8；振幅质量近似1/5；日内位置3/8；尾盘近似3.6/20；历史风险22/22；空间盈亏比13/13；行业汽车零部件均涨-0.17%上涨率38%前排8%/1%；强概念工业互联均涨1.03%上涨率60%；主线7/15；主线不足封顶79；执行条件不足封顶79,备选,成交额高、换手率适中、量比健康、价格区间适合重仓隔夜,17.53-17.90回踩稳住再看，不追高,否,今天不追高，只有回踩关键区后重新企稳才看；参考区间：17.53-17.90回踩稳住再看，不追高,若跌破日内低点17.11或回踩后持续弱于昨收17.50，应降低仓位预期,Top54
